,words,bbox,tags
27,Due:,"[0.7099609375, 0.2548828125, 0.7529296875, 0.26953125]",
28,Apr,"[0.8310546875, 0.140625, 0.861328125, 0.1572265625]",
29,"16,","[0.861328125, 0.140625, 0.8876953125, 0.15625]",
30,2022,"[0.8876953125, 0.140625, 0.9287109375, 0.1552734375]",
31,Check,"[0.8798828125, 0.169921875, 0.927734375, 0.181640625]",
32,May,"[0.8251953125, 0.197265625, 0.859375, 0.212890625]",
33,"28,","[0.859375, 0.1962890625, 0.88671875, 0.212890625]",
34,2022,"[0.8876953125, 0.1982421875, 0.9267578125, 0.2099609375]",
35,24325,"[0.8798828125, 0.224609375, 0.9287109375, 0.2392578125]",
36,$0.00,"[0.8798828125, 0.2548828125, 0.9287109375, 0.2705078125]",
37,Item,"[0.072265625, 0.330078125, 0.107421875, 0.3447265625]",
38,licence,"[0.0732421875, 0.3642578125, 0.1298828125, 0.3759765625]",
39,tool,"[0.0703125, 0.384765625, 0.10546875, 0.3994140625]",
40,Quantity,"[0.599609375, 0.3310546875, 0.662109375, 0.345703125]",
41,1,"[0.599609375, 0.36328125, 0.609375, 0.376953125]",
42,1,"[0.599609375, 0.3857421875, 0.609375, 0.3994140625]",
43,Rate,"[0.7666015625, 0.330078125, 0.8037109375, 0.3447265625]",
44,"$1,300.00","[0.728515625, 0.365234375, 0.80078125, 0.376953125]",
45,$150.00,"[0.7421875, 0.3876953125, 0.8017578125, 0.3994140625]",
46,Amount,"[0.8701171875, 0.33203125, 0.927734375, 0.34375]",
47,"$1,300.00","[0.853515625, 0.365234375, 0.9267578125, 0.376953125]",
48,$150.00,"[0.8671875, 0.3876953125, 0.927734375, 0.3994140625]",
49,Subtotal:,"[0.685546875, 0.470703125, 0.7509765625, 0.482421875]",
50,Discount,"[0.6328125, 0.498046875, 0.697265625, 0.509765625]",
51,(12%):,"[0.7001953125, 0.498046875, 0.751953125, 0.5126953125]",
52,Tax,"[0.6669921875, 0.525390625, 0.69921875, 0.5400390625]",
53,(10%):,"[0.7001953125, 0.5263671875, 0.751953125, 0.541015625]",
54,Shipping:,"[0.681640625, 0.5546875, 0.7509765625, 0.5693359375]",
55,Total:,"[0.708984375, 0.5830078125, 0.7509765625, 0.5947265625]",
56,Amount,"[0.6513671875, 0.611328125, 0.708984375, 0.623046875]",
57,Paid:,"[0.7119140625, 0.609375, 0.7529296875, 0.6240234375]",
58,"$1,450.00","[0.853515625, 0.470703125, 0.9267578125, 0.482421875]",
59,$174.00,"[0.8671875, 0.4990234375, 0.927734375, 0.5107421875]",
60,$127.60,"[0.8662109375, 0.525390625, 0.9287109375, 0.5400390625]",
61,$20.00,"[0.875, 0.5537109375, 0.9287109375, 0.568359375]",
62,"$1,423.60","[0.8525390625, 0.58203125, 0.927734375, 0.5966796875]",
63,"$1,423.60","[0.8525390625, 0.6103515625, 0.927734375, 0.625]",
64,Terms:,"[0.078125, 0.6806640625, 0.1328125, 0.6953125]",
65,Late,"[0.078125, 0.701171875, 0.11328125, 0.7158203125]",
66,fees,"[0.11328125, 0.701171875, 0.1494140625, 0.7158203125]",
67,will,"[0.1484375, 0.701171875, 0.1767578125, 0.716796875]",
68,increase,"[0.177734375, 0.703125, 0.2412109375, 0.71484375]",
69,due,"[0.2421875, 0.701171875, 0.2744140625, 0.7158203125]",
70,amount,"[0.275390625, 0.703125, 0.33203125, 0.71484375]",
71,by,"[0.3330078125, 0.701171875, 0.35546875, 0.71875]",
72,3%.,"[0.3544921875, 0.701171875, 0.38671875, 0.716796875]",
