,words,bbox,tags
32,2022,"[1507.421875, 309.375, 1577.1484375, 341.6015625]",bill_date
33,Card,"[1514.0625, 369.53125, 1578.80859375, 401.7578125]",pay_type
34,May,"[1402.83203125, 433.984375, 1460.9375, 468.359375]",due_date
35,"12,","[1464.2578125, 431.8359375, 1507.421875, 468.359375]",due_date
36,2022,"[1509.08203125, 436.1328125, 1575.48828125, 461.9140625]",due_date
37,24325,"[1495.80078125, 494.140625, 1578.80859375, 526.3671875]",other
38,"3,318.72","[1427.734375, 562.890625, 1577.1484375, 595.1171875]",amt_due
39,Item,"[122.8515625, 726.171875, 182.6171875, 758.3984375]",tab
40,surface,"[124.51171875, 803.515625, 225.78125, 829.296875]",tab
41,pro,"[227.44140625, 803.515625, 280.56640625, 835.7421875]",tab
42,mouse,"[122.8515625, 852.9296875, 215.8203125, 876.5625]",tab
43,Quantity,"[1019.3359375, 728.3203125, 1125.5859375, 760.546875]",tab
44,5,"[1017.67578125, 799.21875, 1040.91796875, 831.4453125]",tab
45,2,"[1016.015625, 848.6328125, 1040.91796875, 880.859375]",tab
46,Rate,"[1303.22265625, 726.171875, 1366.30859375, 758.3984375]",tab
47,"R1,500.00","[1236.81640625, 803.515625, 1361.328125, 829.296875]",unit_am
48,R20.00,"[1275.0, 850.78125, 1362.98828125, 876.5625]",unit_am
49,Amount,"[1479.19921875, 730.46875, 1577.1484375, 756.25]",am
50,"R7,500.00","[1449.31640625, 803.515625, 1575.48828125, 829.296875]",ut_am
51,R40.00,"[1487.5, 850.78125, 1577.1484375, 876.5625]",ut_am
52,Subtotal:,"[1165.4296875, 1035.546875, 1276.66015625, 1061.328125]",subt
53,Discount,"[1075.78125, 1097.8515625, 1185.3515625, 1121.484375]",dis
54,(12%):,"[1190.33203125, 1095.703125, 1278.3203125, 1127.9296875]",dis_per
55,Tax,"[1133.88671875, 1155.859375, 1188.671875, 1188.0859375]",tax
56,(10%):,"[1190.33203125, 1158.0078125, 1278.3203125, 1190.234375]",tax_per
57,Shipping:,"[1158.7890625, 1220.3125, 1276.66015625, 1252.5390625]",ship_am
58,Total:,"[1205.2734375, 1282.6171875, 1276.66015625, 1308.3984375]",total
59,Amount,"[1107.32421875, 1344.921875, 1205.2734375, 1370.703125]",am_p
60,Paid:,"[1210.25390625, 1340.625, 1279.98046875, 1372.8515625]",am_p
61,"R7,540.00","[1449.31640625, 1035.546875, 1578.80859375, 1063.4765625]",subt
62,R904.80,"[1472.55859375, 1097.8515625, 1577.1484375, 1121.484375]",dis_am
63,R663.52,"[1472.55859375, 1158.0078125, 1577.1484375, 1183.7890625]",tax_am
64,R20.00,"[1485.83984375, 1218.1640625, 1578.80859375, 1250.390625]",ship_am
65,"R7,318.72","[1447.65625, 1280.46875, 1578.80859375, 1312.6953125]",total
66,"74,000.00","[1449.31640625, 1342.7734375, 1577.1484375, 1375.0]",am_p
67,Terms:,"[132.8125, 1497.4609375, 225.78125, 1529.6875]",other
68,Late,"[132.8125, 1542.578125, 192.578125, 1574.8046875]",other
69,fees,"[192.578125, 1542.578125, 254.00390625, 1574.8046875]",other
70,will,"[252.34375, 1542.578125, 300.48828125, 1576.953125]",other
71,increase,"[302.1484375, 1546.875, 410.05859375, 1572.65625]",other
72,due,"[411.71875, 1542.578125, 466.50390625, 1574.8046875]",other
73,amount,"[468.1640625, 1546.875, 564.453125, 1572.65625]",other
74,by,"[566.11328125, 1542.578125, 604.296875, 1581.25]",other
75,3%,"[602.63671875, 1542.578125, 657.421875, 1576.953125]",other
